% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
22410	1	3	1	0	0	28	2196	0	1	1	0
22615	1	5	8	0	0	28	2196	0	1	1	0
22695	1	6	6	0	0	28	2196	0	1	1	0
22775	1	2	4	0	0	28	1095	0	1	0	0
22775	1	7	2	0	0	28	1095	0	1	1	0
22782	1	2	4	0	0	28	1095	1	0	1	0
22855	1	4	5	0	0	28	2196	0	1	1	0
22930	1	3	1	0	0	28	2196	0	1	1	0
23095	1	5	8	0	0	20	1191	0	1	1	0
23175	1	6	6	0	0	28	2196	0	1	1	0
23255	1	2	4	0	0	20	597	0	1	1	0
23255	1	7	2	0	0	28	1095	0	1	1	0
23335	1	4	5	0	0	28	2196	0	1	1	0
23370	1	3	1	0	0	28	2196	0	1	0	0
23377	1	3	1	0	0	28	2196	1	0	1	0
23575	1	5	8	0	0	28	2196	0	1	1	0
23655	1	6	6	0	0	28	2196	0	1	1	0
23735	1	2	4	0	0	20	597	0	1	1	0
23735	1	7	2	0	0	28	1095	0	1	1	0
23815	1	4	5	0	0	28	2196	0	1	1	0
24050	1	3	1	0	0	24	1620	0	1	1	0
24055	1	5	8	0	0	24	1620	0	1	1	0
24135	1	6	6	0	0	26	1836	0	1	0	0
24142	1	6	6	0	0	26	1836	1	0	1	0
24215	1	2	4	0	0	24	807	0	1	1	0
24215	1	7	2	0	0	28	1095	0	1	1	0
24295	1	3	1	0	0	12	301	0	1	1	0
24295	1	4	5	0	0	26	903	0	1	1	0
24535	1	5	8	0	0	28	2196	0	1	1	0
24615	1	6	6	0	0	28	2196	0	1	1	0
24695	1	2	4	0	0	28	1095	0	1	1	0
24695	1	7	2	0	0	24	807	0	1	1	0
24775	1	4	5	0	0	28	2196	0	1	1	0
24875	1	3	1	0	0	14	775	0	1	1	0
25015	1	5	8	0	0	28	2196	0	1	1	0
25095	1	6	6	0	0	28	2196	0	1	1	0
25175	1	2	4	0	0	26	903	0	1	1	0
