% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
22.693	1	6	2270	4	6	28	2196	0	0	0
22.773	1	7	2278	4	2	28	1095	0	0	0
22.773	1	2	2278	4	4	28	1095	0	0	0
22.78	1	2	2279	1	4	28	1095	0	0	0
22.853	1	4	2286	4	5	28	2196	0	0	0
22.928	1	3	2293	9	1	28	2196	0	0	0
23.093	1	5	2310	4	8	20	1191	0	0	0
23.173	1	6	2318	4	6	28	2196	0	0	0
23.253	1	7	2326	4	2	28	1095	0	0	0
23.253	1	2	2326	4	4	20	597	0	0	0
23.333	1	4	2334	4	5	28	2196	0	0	0
23.368	1	3	2337	9	1	28	2196	0	0	0
23.375	1	3	2338	6	1	28	2196	0	0	0
23.573	1	5	2358	4	8	28	2196	0	0	0
23.653	1	6	2366	4	6	28	2196	0	0	0
23.733	1	7	2374	4	2	28	1095	0	0	0
23.733	1	2	2374	4	4	20	597	0	0	0
23.813	1	4	2382	4	5	28	2196	0	0	0
24.048	1	3	2405	9	1	24	1620	0	0	0
