% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0762143	1	1	2	1.6795e-10	365688	0
0.0762143	1	2	1	3.87604e-10	839602	0
0.0762143	2	3	2	2.9531e-10	635126	0
0.0762143	2	4	1	2.10809e-10	450113	0
0.0762143	2	5	3	5.80921e-11	127034	0
0.0772143	1	1	2	1.6745e-10	364590	0
0.0772143	1	2	1	3.84825e-10	833995	0
0.0772143	2	3	2	3.0495e-10	656531	0
0.0772143	2	4	1	2.06195e-10	439605	0
0.0772143	2	5	3	5.87043e-11	128380	0
0.0782143	1	1	2	1.66847e-10	363266	0
0.0782143	1	2	1	3.81845e-10	827947	0
0.0782143	2	3	2	3.14661e-10	678095	0
0.0782143	2	4	1	2.01041e-10	427950	0
0.0782143	2	5	3	5.93724e-11	129849	0
0.0792143	1	1	2	1.66156e-10	361752	0
0.0792143	1	2	1	3.78462e-10	821027	0
0.0792143	2	3	2	3.24548e-10	700044	0
0.0792143	2	4	1	1.95936e-10	416395	0
0.0792143	2	5	3	6.0048e-11	131334	0
0.0802143	1	1	2	1.65408e-10	360110	0
0.0802143	1	2	1	3.75e-10	813926	0
0.0802143	2	3	2	3.34511e-10	722164	0
0.0802143	2	4	1	1.90329e-10	403780	0
0.0802143	2	5	3	6.07674e-11	132915	0
0.0812143	1	1	2	1.64518e-10	358156	0
0.0812143	1	2	1	3.71057e-10	805781	0
0.0812143	2	3	2	3.446e-10	744554	0
0.0812143	2	4	1	1.84763e-10	391252	0
0.0812143	2	5	3	6.15062e-11	134540	0
0.0822143	1	1	2	1.63619e-10	356184	0
0.0822143	1	2	1	3.67152e-10	797706	0
0.0822143	2	3	2	3.54778e-10	767138	0
0.0822143	2	4	1	1.78845e-10	377987	0
0.0822143	2	5	3	6.22764e-11	136233	0
0.0832143	1	1	2	1.62517e-10	353762	0
0.0832143	1	2	1	3.62697e-10	788439	0
0.0832143	2	3	2	3.65017e-10	789855	0
0.0832143	2	4	1	1.72918e-10	364707	0
0.0832143	2	5	3	6.30778e-11	137994	0
0.0842143	1	1	2	1.61451e-10	351420	0
0.0842143	1	2	1	3.58321e-10	779326	0
0.0842143	2	3	2	3.75367e-10	812807	0
0.0842143	2	4	1	1.66784e-10	351002	0
0.0842143	2	5	3	6.38974e-11	139796	0
0.0852143	1	1	2	1.60127e-10	348509	0
0.0852143	1	2	1	3.53517e-10	769280	0
0.0852143	2	3	2	3.85703e-10	835726	0
0.0852143	2	4	1	1.60605e-10	337213	0
0.0852143	2	5	3	6.47604e-11	141693	0
0.0862143	1	1	2	1.58857e-10	345716	0
0.0862143	1	2	1	3.4873e-10	759254	0
